company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.3
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,67.3
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,93.1
ABB,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.8
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.2
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,82.6
ADANIENSOL,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,74.0
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,68.2
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,93.4
ADANIENT,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.1
ADANIENT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,93.4
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,92.5
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94.0
ADANIENT,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,93.7
ADANIGREEN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,93.6
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.5
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,95.7
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.5
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,93.6
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.8
ADANIPORTS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,70.0
ADANIPORTS,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,67.0
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,89.7
ADANIPOWER,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
ADANIPOWER,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.6
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.9
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,70.0
ADANIPOWER,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91.1
AMBUJACEM,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,62.6
APOLLOHOSP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
APOLLOHOSP,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.2
APOLLOHOSP,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,86.0
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91.4
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94.2
APOLLOHOSP,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,63.7
ASIANPAINT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81.5
ASIANPAINT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
ASIANPAINT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,62.9
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
ASIANPAINT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,73.7
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.7
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84.8
ASIANPAINT,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
ATGL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80.9
ATGL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.9
ATGL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
ATGL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.5
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.9
ATGL,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.0
AXISBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,91.2
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.7
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94.8
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.1
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.0
BAJAJ-AUTO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,74.6
BAJAJ-AUTO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BAJAJ-AUTO,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,89.1
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.9
BAJAJ-AUTO,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
BAJAJFINSV,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73.8
BAJAJFINSV,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80.7
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.0
BAJAJFINSV,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.6
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.9
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.9
BAJAJFINSV,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
BAJAJFINSV,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.0
BAJAJFINSV,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,94.6
BAJAJHLDNG,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,92.3
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.8
BAJAJHLDNG,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BAJAJHLDNG,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,87.4
BAJAJHLDNG,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.0
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,70.0
BAJAJHLDNG,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
BAJFINANCE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.2
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.0
BAJFINANCE,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,82.6
BAJFINANCE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BAJFINANCE,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,89.6
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.4
BAJFINANCE,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.0
BANKBARODA,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.6
BANKBARODA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.0
BANKBARODA,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.9
BANKBARODA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.8
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,79.7
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.0
BEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,96.0
BEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.5
BEL,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,92.1
BHARTIARTL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90.6
BHARTIARTL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,96.0
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,95.3
BHARTIARTL,con,CON_1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,77.5
BHEL,pro,PRO_FALLBACK,"Scale and Nifty 100 index inclusion give the company a diversified revenue base and an established market position, even though no single metric screens as an outsized strength this year",55.0
BHEL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.0
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,87.1
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.0
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,95.3
BOSCHLTD,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
BOSCHLTD,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BOSCHLTD,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,92.3
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80.1
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,70.0
BOSCHLTD,con,CON_FALLBACK,"Sector-relative composite score of 32/100 indicates the company trails peer-group medians on a blended profitability, cash-quality and leverage basis, which warrants monitoring",55.0
BPCL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.9
BPCL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BPCL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.0
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,95.4
BPCL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,70.0
BPCL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
BRITANNIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.4
BRITANNIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.6
BRITANNIA,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
CANBK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.7
CANBK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,96.0
CANBK,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.4
CANBK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.8
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96.0
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.7
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.0
CHOLAFIN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82.5
CHOLAFIN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.0
CHOLAFIN,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.7
CHOLAFIN,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
CHOLAFIN,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.1
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.1
CHOLAFIN,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
CHOLAFIN,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.0
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.0
CIPLA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
CIPLA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.0
CIPLA,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.1
CIPLA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
CIPLA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.3
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,93.9
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,70.0
CIPLA,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
COALINDIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,93.4
COALINDIA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
COALINDIA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,96.0
COALINDIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
COALINDIA,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,92.9
COALINDIA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,69.4
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,93.0
COALINDIA,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
DABUR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
DABUR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
DABUR,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,87.8
DABUR,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.0
DIVISLAB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,69.3
DIVISLAB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
DIVISLAB,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,74.0
DIVISLAB,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,76.0
DLF,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
DLF,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.1
DLF,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,77.0
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96.0
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.5
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,95.4
DMART,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.6
DMART,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.7
DMART,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
DMART,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.9
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.3
DMART,con,CON_FALLBACK,"Sector-relative composite score of 43/100 indicates the company trails peer-group medians on a blended profitability, cash-quality and leverage basis, which warrants monitoring",55.0
DRREDDY,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
DRREDDY,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,69.3
DRREDDY,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.8
DRREDDY,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
DRREDDY,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.5
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.8
DRREDDY,con,CON_FALLBACK,"No red flags were identified across the screened leverage, cash-flow and profitability checks this year, though valuation and macro-cycle sensitivity remain standard risks worth monitoring",55.0
EICHERMOT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,77.3
EICHERMOT,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,64.6
EICHERMOT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
EICHERMOT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,92.9
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72.0
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.7
EICHERMOT,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.0
GAIL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.0
GAIL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
